Paragraph,TF-IDF Score,text
الذكاء الاصطناعي تعبير يطلق على القدرات التي تبديها الآلات والبرامج، بما يحاكي القدرات الذهنية للبشر، مثل التعلم والاستنتاج ورد الفعل على أوضاع لم تبرمج في الآلة، كما أنه اسم لحقل أكاديمي معني بكيفية صنع حواسيب وبرامج قادرة على اتخاذ سلوك ذكي.,5.8514540358342435,ذكاء اصطناع تعبير طلق قدر تبدي آلة برامج حاكى قدر ذهن بشر تعلم استنتاج فعل أوضاع برمج آلة أن اسم حقل أكاديمي معني كيفية صنع حواسيب برامج قادر اتخاذ سلوك ذكي
وهو سِمة العصر الحديث البارزة، طوَّره الإنسان لخدمته في إنجاز مهماته بدقة كبيرة وسرعة عالية وموثوقية رصينة.,4.164563147722379,سم عصر حديث بارز طور إنس خدم إنجاز مهمة دقة كبير سرع عال موثوق رصين
ورافقت هذا الإنجاز تحدياتٌ اقتصادية سببت فجوة هائلة في توزيع الثروة بين الدول المتقدمة والنامية، وبين الأفراد أنفسهم في البلد الواحد، وصار تهديدا كبيرا لعدد من الوظائف.,5.010368571788386,رافق إنجاز تحدي اقتصاد سب جو هائل توزيع ثروة دول متقدم نامة بين أفراد نفس بلد واحد صار تهديد كبير عدد وظائف
يعود طرح مصطلح الذكاء الاصطناعي إلى عالم الحاسوب الأميركي جون مكارثي (1927-2011) الذي صاغه عام 1956، وهو العام الذي شهد انعقاد مؤتمر علمي في كلية دارتموث الأميركية للإشارة للأبحاث الجارية آنذاك حول إمكانية تصميم آلة ذكية قادرة على تقليد ومحاكاة عمل البشر.,6.258658968009476,عاد طرح مصطلح ذكاء اصطناع عالم حاسوب الأميركي جون مكارثي رقمرقم صاغ عام رقم عام شهد انعقاد مؤتمر علم كلية دارتموث الأميركية إشارة أبحاث جار آنذاك حول إمكان تصميم آلة ذكي قادر تقليد محاكاة عمل بشر
وتم الإعلان في ذلك المؤتمر عن حملات لجمع تبرعات مالية لدعم الأبحاث من أجل الوصول إلى اختراع يشبه العقل البشري يمكّن الآلات من العمل بمفردها دون الحاجة للإنسان.,5.051413539726722,تم إعلان مؤتمر حمل جمع تبرع مال دعم أبحاث وصول اختراع أشبه عقل بشر يم آلة عمل مفرد حاج إنس
يعرَّف الذكاء الاصطناعي بأنه البناء المنطقي للبرمجيات والخوارزميات والشبكات العصبية، التي تمكِّن الآلات المحوسبة من محاكاة الذكاء البشري في التعلم واتخاذ القرارات وحل المشكلات والتنبؤ بالنتائج، والتوصيات والمفاضلة بين الخيارات لتحقيق أهداف محددة.,5.439024235762571,عرف ذكاء اصطناع أن بناء منطق برمجة والخوارزميات شبكة عصب تم آلة المحوسبة محاكاة ذكاء بشر تعلم اتخاذ قرار وحل مشكل تنبؤ نتائج توصية مفاضل خيار تحقيق أهداف محدد
وشكل تطور لغات البرمجة والإعلام الآلي حافزا للمضي قدما في تعزيز الذكاء الاصطناعي لدرجة أنه أصبح علما قائما بذاته، يجمع بين العديد من العلوم الأخرى كالبرمجة والمنطق والرياضيات وحتى علم النفس والفلسفة.,5.449427317191826,شكل تطور لغة برمجة إعلام آلة حافز مض قدم تعزيز ذكاء اصطناع درج أن علم قائم ذات جمع عديد علوم أخرى برمجة منطق الرياض حتى نفس فلسفة
"حقق التطور في تقنية الذكاء الاصطناعي قفزات كبيرة، وتعد تقنية ""التعلم العميق"" أبرز مظاهره، وهي ترتكز على تطوير شبكات عصبية صناعية تحاكي في طريقة عملها أسلوب الدماغ البشري، أي أنها قادرة على التجريب والتعلم وتطوير نفسها ذاتيا دون تدخل الإنسان.",5.888641606110186,حقق تطور تقني ذكاء اصطناع قفز كبير تعدي تقني تعلم عميق رز مظاهر هي ارتكز تطوير شبكة عصب صناع تحاك طريق عمل أسلوب دماغ بشر أن قادر تجريب تعلم تطوير نفس ذاتي تدخل إنس
يعتمد الذكاء الاصطناعي على أنظمة التعرف على الوجوه والأصوات والأشكال، مما جعل استخدامه واسع الانتشار في الحياة اليومية وفي الكثير من المجالات المختلفة. إذ يستخدم في الصناعة والتحكم الآلي والنظم الخبيرة والطب والأحياء والتعليم وحتى الألعاب.,5.655707819239928,اعتمد ذكاء اصطناع نظم تعرف وجوه أصوات أشكال استخدام واسع انتشار حياة يوم في كثير مجال مختلف استخدم صناع تحكم آلة نظم خبير طب أحياء تعليم حتى ألعاب
وفي مجال الطب توجد برامج لتشخيص الأمراض بناء على أعراض معروفة مع استخدام المنطق والاحتمالات والاستدلال لكي يكون الخبير الآلي مالكا لمهارات مقاربة للعنصر البشري.,4.8791732950371145,في مجال طب توجد برامج تشخيص أمراض بناء عراض معروف استخدام منطق احتمال استدلال كوى خبير آلة مالك مهارة مقارب عنصر بشر
